tag,n_bf16,n_nvfp4,bf16_b1,nvfp4_b1,bf16_b2,nvfp4_b2,bf16_b3,nvfp4_b3,bf16_all,nvfp4_all,ratio_b3,reldiff_b3,bf16_shape,nvfp4_shape,bf16_trend,nvfp4_trend,bf16_std_b3,nvfp4_std_b3
perf/trainer/step_time_ratio/blocking_trainer_push_model_state_dict,300,300,3.269638272129782e-08,2.5738483131476643e-08,3.6855356757570236e-08,2.2364341631941898e-08,4.824475730913491e-08,2.8825770641560667e-08,3.926549892933432e-08,2.5642865134993067e-08,0.5974902196492684,-0.40250978035073154,3.27e-08->3.686e-08->4.824e-08,2.574e-08->2.236e-08->2.883e-08,1.4755380654909316,1.1199483083099195,1.7522927691289443e-08,1.1773502973833715e-08
perf/trainer/step_time_ratio/fwd_bwd,300,300,0.05524510946124792,0.061372928358614444,0.0541487393528223,0.060703944340348245,0.05968795225024223,0.05985347349196672,0.05636060035477082,0.0606434487303098,1.0027731097396428,0.0027654408686357194,0.05525->0.05415->0.05969,0.06137->0.0607->0.05985,1.0804205626945274,0.9752422622272602,0.010604383557889167,0.011383513875606906
perf/trainer/step_time_ratio/unaccounted,300,300,2.283611843267863e-06,1.6749686290040699e-06,2.434517415395021e-06,1.565792964584034e-06,2.5378294026268122e-06,1.6391294229833876e-06,2.4186528870965657e-06,1.6266303388571638e-06,0.6458784902116691,-0.3541215097883309,2.284e-06->2.435e-06->2.538e-06,1.675e-06->1.566e-06->1.639e-06,1.1113225787948104,0.9786030583498199,5.654411639501832e-07,4.1685647574103997e-07
perf/trainer/tokens_per_second_full_step,300,300,227.5397964477539,149.58923446655274,221.42184310913086,150.60135345458986,237.40008026123047,142.35947120666503,228.78723993937174,147.51668637593588,0.5996605858347454,-0.40033941416525465,227.5->221.4->237.4,149.6->150.6->142.4,1.0433343264229413,0.9516692274970882,30.07722018191982,20.18741371582697
perf/trainer/tokens_per_second_fwd_bwd,300,300,4165.210104980469,2465.549964599609,4134.097890625,2513.8095324707033,4020.55119140625,2405.315440673828,4106.619729003906,2461.55831258138,0.5982551461638104,-0.4017448538361896,4165->4134->4021,2466->2514->2405,0.9652697199113087,0.9755695383218231,331.59876051254867,199.21089620236054
rollout/branches_per_rollout/max,300,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1->1->1,1->1->1,1.0,1.0,0.0,0.0
rollout/branches_per_rollout/mean,300,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1->1->1,1->1->1,1.0,1.0,0.0,0.0
rollout/max_policy_version/max,300,300,49.5,49.5,149.5,149.5,249.5,249.5,149.5,149.5,1.0,0.0,49.5->149.5->249.5,49.5->149.5->249.5,5.040404040404041,5.040404040404041,28.86607004772212,28.86607004772212
rollout/min_policy_version/min,300,300,49.5,49.5,149.5,149.5,249.5,249.5,149.5,149.5,1.0,0.0,49.5->149.5->249.5,49.5->149.5->249.5,5.040404040404041,5.040404040404041,28.86607004772212,28.86607004772212
rollout/num_turns/max,300,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1->1->1,1->1->1,1.0,1.0,0.0,0.0
rollout/num_turns/mean,300,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1->1->1,1->1->1,1.0,1.0,0.0,0.0
rollout/output_tokens/max,300,300,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,1.0,0.0,2048->2048->2048,2048->2048->2048,1.0,1.0,0.0,0.0
