arm,steps,loss_mean,grad_norm_mean,reward_mean,reward_last,logprob_diff_mean,clipped_frac_mean,val_reward_step0,val_reward_step10
arm_bf16,10,0.011143071902915835,0.122705078125,0.0984375,0.171875,-0.0006963150663068518,0.003179254615679383,0.0625,0.0
arm_mxfp8_e2e,10,0.007421210408210754,0.109814453125,0.0734375,0.125,-0.0009477181476540864,0.0058329415041953325,0.0,0.0625
arm_mxfp8_hp,10,0.01183230304159224,0.123095703125,0.0828125,0.15625,-0.0008773258625296876,0.005957491369917989,0.0625,0.0
arm_mxfp8_deq,10,0.0032016406767070293,0.1115966796875,0.075,0.171875,-0.0010398389829788357,0.005949810845777392,0.0625,0.0
arm_nvfp4_hp,10,0.007957229041494429,0.1135498046875,0.0734375,0.15625,-0.002733064698986709,0.019557268358767033,0.0,0.0
arm_nvfp4_deq,10,0.0026514082681387665,0.099462890625,0.0640625,0.15625,-0.002800921571906656,0.019937197118997572,0.0,0.0
