
### trainer/lr
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   4 | 1662.9 | 1762.8 | 1662.4 | 1694.1
   5 | 1366.5 | 1395.1 | 1385.7 | 1372.8
   6 | 1530.3 | 1475.3 | 1540.7 | 1494.4
   7 | 1564.5 | 1522 | 1539 | 1547.9
   8 | 1229.6 | 1227.3 | 1216.3 | 1234.8
   9 | 1356.2 | 1381.6 | 1348.3 | 1372.6
  10 | 1586.5 | 1578.8 | 1577.5 | 1584.3

### rollout/truncation_rate/mean
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | 0.09375 | 0.0625 | 0.046875 | 0.078125
   2 | 0.54688 | 0.53125 | 0.54688 | 0.64062
   3 | 0.375 | 0.375 | 0.35938 | 0.35938
   4 | 0.34375 | 0.42188 | 0.375 | 0.4375
   5 | 0.34375 | 0.40625 | 0.35938 | 0.34375
   6 | 0.34375 | 0.28125 | 0.26562 | 0.32812
   7 | 0.375 | 0.3125 | 0.375 | 0.40625
   8 | 0.25 | 0.21875 | 0.23438 | 0.26562
   9 | 0.375 | 0.375 | 0.35938 | 0.39062
  10 | 0.4375 | 0.46875 | 0.45312 | 0.48438

### loss/mean
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | 0.00015639 | -0.00077368 | -0.00070245 | 0.0022828
   2 | 0.01423 | 0.0079195 | 0.019001 | 0.018765
   3 | -0.011419 | 0 | 0.0037236 | 0
   4 | 0.039762 | -0.018592 | 0.0051424 | 0.0015968
   5 | 0.0012849 | 0.0083715 | 0.0013214 | -0.002401
   6 | 0.02542 | -0.00025685 | 0.0056062 | 0.040888
   7 | 0.0057149 | 0.018059 | 0 | 0.006866
   8 | 0.00030626 | -0.0030616 | 0.0089936 | 0.037478
   9 | 0.010522 | -0.0072922 | 0.0025874 | -0.013117
  10 | 0.025453 | 0.022141 | 0.016448 | 0.059169

### train_batch/num_training_samples
step | ABL_bf16 | ABL_nvfp4 | LONG_bf16 | LONG_nvfp4
   0 | - | - | - | -
   1 | 64 | 64 | 64 | 64
   2 | 64 | 64 | 64 | 64
   3 | 64 | 64 | 64 | 64
   4 | 64 | 64 | 64 | 64
